#name	prefix	organism	contigs
beer058	MBXW01	Saccharomyces cerevisiae	395
beer059	MBXV01	Saccharomyces cerevisiae	398
beer060	MBXU01	Saccharomyces cerevisiae	495
beer061	MBXT01	Saccharomyces cerevisiae	416
beer062	MBXS01	Saccharomyces cerevisiae	547
beer063	MBXR01	Saccharomyces cerevisiae	422
beer064	MBXQ01	Saccharomyces cerevisiae	575
beer065	MBXP01	Saccharomyces cerevisiae	402
beer066	MBXO01	Saccharomyces cerevisiae	443
beer067	MBXN01	Saccharomyces cerevisiae	438
beer068	MBXM01	Saccharomyces cerevisiae	157
beer069	MBXL01	Saccharomyces cerevisiae	478
beer070	MBXK01	Saccharomyces cerevisiae	178
beer071	MBXJ01	Saccharomyces cerevisiae	331
beer072	MBXI01	Saccharomyces cerevisiae	317
beer073	MBXH01	Saccharomyces cerevisiae	542
beer074	MBXG01	Saccharomyces cerevisiae	334
beer075	MBXF01	Saccharomyces cerevisiae	430
beer076	MBXE01	Saccharomyces cerevisiae	400
beer077	MBXD01	Saccharomyces cerevisiae	389
beer078	MBXC01	Saccharomyces cerevisiae	402
beer079	MBXB01	Saccharomyces cerevisiae	406
beer080	MBXA01	Saccharomyces cerevisiae	497
beer081	MBWZ01	Saccharomyces cerevisiae	537
beer082	MBWY01	Saccharomyces cerevisiae	468
beer083	MBWX01	Saccharomyces cerevisiae	182
beer084	MBWW01	Saccharomyces cerevisiae	228
beer085	MBWV01	Saccharomyces cerevisiae	533
beer086	MBWU01	Saccharomyces cerevisiae	563
beer087	MBWT01	Saccharomyces cerevisiae	490
beer088	MBWS01	Saccharomyces cerevisiae	214
beer089	MBWR01	Saccharomyces cerevisiae	505
beer090	MBWQ01	Saccharomyces cerevisiae	482
beer091	MBWP01	Saccharomyces cerevisiae	501
beer092	MBWO01	Saccharomyces cerevisiae	385
beer093	MBWN01	Saccharomyces cerevisiae	347
beer094	MBWM01	Saccharomyces cerevisiae	517
beer095	MBWL01	Saccharomyces cerevisiae	787
beer096	MBWK01	Saccharomyces cerevisiae	1012
beer097	MBWJ01	Saccharomyces cerevisiae	898
beer098	MBWI01	Saccharomyces cerevisiae	477
beer099	MBWH01	Saccharomyces cerevisiae	725
beer100	MBWG01	Saccharomyces cerevisiae	638
beer101	MBWF01	Saccharomyces cerevisiae	588
beer102	MBWE01	Saccharomyces cerevisiae	395
bioethanol001	MBWD01	Saccharomyces cerevisiae	124
bioethanol002	MBWC01	Saccharomyces cerevisiae	414
bioethanol003	MBWB01	Saccharomyces cerevisiae	93
bioethanol004	MBWA01	Saccharomyces cerevisiae	124
bioethanol005	MBVZ01	Saccharomyces cerevisiae	299
bread001	MBVY01	Saccharomyces cerevisiae	400
bread002	MBVX01	Saccharomyces cerevisiae	384
bread003	MBVW01	Saccharomyces cerevisiae	360
bread004	MBVV01	Saccharomyces cerevisiae	358
laboratory001	MBVU01	Saccharomyces cerevisiae	91
laboratory002	MBVT01	Saccharomyces cerevisiae	76
sake001	MBVS01	Saccharomyces cerevisiae	115
sake002	MBVR01	Saccharomyces cerevisiae	89
sake003	MBVQ01	Saccharomyces cerevisiae	85
sake004	MBVP01	Saccharomyces cerevisiae	117
sake005	MBVO01	Saccharomyces cerevisiae	87
sake006	MBVN01	Saccharomyces cerevisiae	93
sake007	MBVM01	Saccharomyces cerevisiae	123
spirits001	MBVL02	Saccharomyces cerevisiae	1476
spirits002	MBVK01	Saccharomyces cerevisiae	84
spirits003	MBVJ01	Saccharomyces cerevisiae	415
spirits004	MBVI01	Saccharomyces cerevisiae	268
spirits005	MBVH01	Saccharomyces cerevisiae	263
spirits006	MBVG01	Saccharomyces cerevisiae	112
spirits007	MBVF01	Saccharomyces cerevisiae	325
spirits008	MBVE01	Saccharomyces cerevisiae	587
spirits009	MBVD01	Saccharomyces cerevisiae	485
spirits010	MBVC01	Saccharomyces cerevisiae	500
spirits011	MBVB01	Saccharomyces cerevisiae	177
wild001	MBUH01	Saccharomyces cerevisiae	185
wild002	MBUG01	Saccharomyces cerevisiae	68
wild003	MBUF02	Saccharomyces cerevisiae	156
wild004	MBUE01	Saccharomyces cerevisiae	64
wild005	MBUD01	Saccharomyces cerevisiae	1156
wild006	MBUC01	Saccharomyces cerevisiae	1050
wild007	MBUB01	Saccharomyces cerevisiae	972
wine001	MBVA02	Saccharomyces cerevisiae	86
wine002	MBUZ02	Saccharomyces cerevisiae	58
wine003	MBUY02	Saccharomyces cerevisiae	122
wine004	MBUX02	Saccharomyces cerevisiae	75
wine005	MBUW02	Saccharomyces cerevisiae	112
wine006	MBUV02	Saccharomyces cerevisiae	100
wine007	MBUU02	Saccharomyces cerevisiae	190
wine008	MBUT02	Saccharomyces cerevisiae	200
wine009	MBUS02	Saccharomyces cerevisiae	98
wine010	MBUR02	Saccharomyces cerevisiae	220
wine011	MBUQ02	Saccharomyces cerevisiae	103
wine012	MBUP02	Saccharomyces cerevisiae	302
wine013	MBUO02	Saccharomyces cerevisiae	169
wine014	MBUN02	Saccharomyces cerevisiae	81
wine015	MBUM02	Saccharomyces cerevisiae	57
wine016	MBUL02	Saccharomyces cerevisiae	454
wine017	MBUK02	Saccharomyces cerevisiae	148
wine018	MBUJ02	Saccharomyces cerevisiae	186
wine019	MBUI01	Saccharomyces cerevisiae	216
