#name	prefix	organism	contigs
beer102	MBWE01	Saccharomyces cerevisiae	395
beer101	MBWF01	Saccharomyces cerevisiae	588
beer100	MBWG01	Saccharomyces cerevisiae	638
beer099	MBWH01	Saccharomyces cerevisiae	725
beer098	MBWI01	Saccharomyces cerevisiae	477
beer097	MBWJ01	Saccharomyces cerevisiae	898
beer096	MBWK01	Saccharomyces cerevisiae	1012
beer095	MBWL01	Saccharomyces cerevisiae	787
beer094	MBWM01	Saccharomyces cerevisiae	517
beer093	MBWN01	Saccharomyces cerevisiae	347
beer092	MBWO01	Saccharomyces cerevisiae	385
beer091	MBWP01	Saccharomyces cerevisiae	501
beer090	MBWQ01	Saccharomyces cerevisiae	482
beer089	MBWR01	Saccharomyces cerevisiae	505
beer088	MBWS01	Saccharomyces cerevisiae	214
beer087	MBWT01	Saccharomyces cerevisiae	490
beer086	MBWU01	Saccharomyces cerevisiae	563
beer085	MBWV01	Saccharomyces cerevisiae	533
beer084	MBWW01	Saccharomyces cerevisiae	228
beer083	MBWX01	Saccharomyces cerevisiae	182
beer082	MBWY01	Saccharomyces cerevisiae	468
beer081	MBWZ01	Saccharomyces cerevisiae	537
beer080	MBXA01	Saccharomyces cerevisiae	497
beer079	MBXB01	Saccharomyces cerevisiae	406
beer078	MBXC01	Saccharomyces cerevisiae	402
beer077	MBXD01	Saccharomyces cerevisiae	389
beer076	MBXE01	Saccharomyces cerevisiae	400
beer075	MBXF01	Saccharomyces cerevisiae	430
beer074	MBXG01	Saccharomyces cerevisiae	334
beer073	MBXH01	Saccharomyces cerevisiae	542
beer072	MBXI01	Saccharomyces cerevisiae	317
beer071	MBXJ01	Saccharomyces cerevisiae	331
beer070	MBXK01	Saccharomyces cerevisiae	178
beer069	MBXL01	Saccharomyces cerevisiae	478
beer068	MBXM01	Saccharomyces cerevisiae	157
beer067	MBXN01	Saccharomyces cerevisiae	438
beer066	MBXO01	Saccharomyces cerevisiae	443
beer065	MBXP01	Saccharomyces cerevisiae	402
beer064	MBXQ01	Saccharomyces cerevisiae	575
beer063	MBXR01	Saccharomyces cerevisiae	422
beer062	MBXS01	Saccharomyces cerevisiae	547
beer061	MBXT01	Saccharomyces cerevisiae	416
beer060	MBXU01	Saccharomyces cerevisiae	495
beer059	MBXV01	Saccharomyces cerevisiae	398
beer058	MBXW01	Saccharomyces cerevisiae	395
beer057	MBXX01	Saccharomyces cerevisiae	566
beer056	MBXY01	Saccharomyces cerevisiae	525
beer055	MBXZ01	Saccharomyces cerevisiae	497
beer054	MBYA01	Saccharomyces cerevisiae	437
beer053	MBYB01	Saccharomyces cerevisiae	430
beer052	MBYC01	Saccharomyces cerevisiae	599
beer051	MBYD01	Saccharomyces cerevisiae	370
beer050	MBYE01	Saccharomyces cerevisiae	536
beer049	MBYF01	Saccharomyces cerevisiae	488
beer048	MBYG01	Saccharomyces cerevisiae	476
beer047	MBYH01	Saccharomyces cerevisiae	466
beer046	MBYI01	Saccharomyces cerevisiae	489
beer045	MBYJ01	Saccharomyces cerevisiae	517
beer044	MBYK01	Saccharomyces cerevisiae	129
beer043	MBYL01	Saccharomyces cerevisiae	283
beer042	MBYM01	Saccharomyces cerevisiae	192
beer041	MBYN01	Saccharomyces cerevisiae	225
beer040	MBYO01	Saccharomyces cerevisiae	208
beer039	MBYP01	Saccharomyces cerevisiae	261
beer038	MBYQ01	Saccharomyces cerevisiae	380
beer037	MBYR01	Saccharomyces cerevisiae	287
beer036	MBYS01	Saccharomyces cerevisiae	267
beer035	MBYT01	Saccharomyces cerevisiae	309
beer034	MBYU01	Saccharomyces cerevisiae	77
beer033	MBYV01	Saccharomyces cerevisiae	113
beer032	MBYW01	Saccharomyces cerevisiae	249
beer031	MBYX01	Saccharomyces cerevisiae	212
beer030	MBYY01	Saccharomyces cerevisiae	219
beer029	MBYZ01	Saccharomyces cerevisiae	392
beer028	MBZA01	Saccharomyces cerevisiae	373
beer027	MBZB01	Saccharomyces cerevisiae	217
beer026	MBZC01	Saccharomyces cerevisiae	257
beer025	MBZD01	Saccharomyces cerevisiae	432
beer024	MBZE01	Saccharomyces cerevisiae	93
beer023	MBZF01	Saccharomyces cerevisiae	378
beer022	MBZG01	Saccharomyces cerevisiae	228
beer021	MBZH01	Saccharomyces cerevisiae	263
beer020	MBZI01	Saccharomyces cerevisiae	86
beer019	MBZJ01	Saccharomyces cerevisiae	221
beer018	MBZK01	Saccharomyces cerevisiae	45
beer017	MBZL01	Saccharomyces cerevisiae	191
beer016	MBZM01	Saccharomyces cerevisiae	177
beer015	MBZN01	Saccharomyces cerevisiae	181
beer014	MBZO01	Saccharomyces cerevisiae	126
beer013	MBZP01	Saccharomyces cerevisiae	298
beer012	MBZQ01	Saccharomyces cerevisiae	244
beer011	MBZR01	Saccharomyces cerevisiae	158
beer010	MBZS01	Saccharomyces cerevisiae	284
beer009	MBZT01	Saccharomyces cerevisiae	295
beer008	MBZU01	Saccharomyces cerevisiae	263
beer007	MBZV01	Saccharomyces cerevisiae	218
beer006	MBZW01	Saccharomyces cerevisiae	478
beer005	MBZX01	Saccharomyces cerevisiae	341
beer004	MBZY01	Saccharomyces cerevisiae	276
beer003	MBZZ01	Saccharomyces cerevisiae	92
beer002	MCAA01	Saccharomyces cerevisiae	195
beer001	MCAB01	Saccharomyces cerevisiae	247
Spar	AABY01	Saccharomyces paradoxus NRRL Y-17217	832
